symbol,entry_dt,entry_price,exit_dt,exit_price,side,qty,pnl,pnl_after_costs,reason
SYNTH,2015-02-19,84.875,2015-02-19,84.0,short,44,1925.0,1705.0,channel_exit
SYNTH,2015-03-13,86.625,2015-03-13,84.25,long,28,-3325.0,-3465.0,stop
SYNTH,2015-04-09,87.25,2015-04-09,84.5,long,14,-1925.0,-1995.0,stop
SYNTH,2015-07-06,81.095,2015-07-06,75.25,short,50,14612.499999999996,14362.499999999996,channel_exit
SYNTH,2015-07-31,76.75,2015-07-31,77.0,long,76,950.0,570.0,channel_exit
SYNTH,2015-09-28,74.73571428571428,2015-09-28,68.75,short,70,20949.99999999998,20599.99999999998,channel_exit
SYNTH,2015-11-09,70.64,2015-11-09,70.25,long,75,-1462.500000000002,-1837.500000000002,channel_exit
SYNTH,2015-12-02,68.5,2015-12-02,71.0,short,20,-2500.0,-2600.0,stop
SYNTH,2015-12-28,72.85472972972973,2015-12-28,71.25,long,74,-5937.499999999987,-6307.499999999987,stop
SYNTH,2016-02-17,69.63095238095238,2016-02-17,66.5,short,63,9862.499999999996,9547.499999999996,channel_exit
SYNTH,2016-09-05,61.619565217391305,2016-09-05,36.5,short,69,86662.5,86317.5,channel_exit
SYNTH,2016-09-22,37.4978813559322,2016-09-22,36.75,long,236,-8824.999999999967,-10004.999999999967,stop
SYNTH,2016-10-17,35.248826291079816,2016-10-17,36.25,short,213,-10662.499999999964,-11727.499999999964,stop
SYNTH,2016-10-26,37.25,2016-10-26,36.0,long,62,-3875.0,-4185.0,stop
SYNTH,2016-11-21,34.623456790123456,2016-11-21,34.5,short,243,1499.999999999985,284.999999999985,channel_exit
SYNTH,2016-12-07,35.75268817204301,2016-12-07,34.75,long,186,-9324.999999999978,-10254.999999999978,stop
SYNTH,2017-01-10,32.62176724137931,2017-01-10,33.25,short,232,-7287.500000000008,-8447.500000000007,channel_exit
SYNTH,2017-02-01,33.25,2017-02-01,32.5,long,67,-2512.5,-2847.5,channel_exit
SYNTH,2017-04-27,31.622967479674795,2017-04-27,26.25,short,246,66087.49999999997,64857.49999999997,channel_exit
SYNTH,2017-05-29,26.996753246753247,2017-05-29,26.75,long,308,-3800.0000000000064,-5340.000000000006,channel_exit
SYNTH,2017-07-07,27.747596153846153,2017-07-07,27.25,long,312,-7762.499999999992,-9322.499999999993,channel_exit
SYNTH,2017-07-31,27.12440758293839,2017-07-31,27.75,short,211,-6599.999999999997,-7654.999999999997,stop
SYNTH,2017-08-17,28.501644736842106,2017-08-17,28.0,long,304,-7625.000000000015,-9145.000000000015,stop
SYNTH,2017-08-28,26.376119402985076,2017-08-28,27.0,short,335,-10449.999999999984,-12124.999999999984,stop
SYNTH,2017-09-25,28.86787072243346,2017-09-25,28.0,long,263,-11412.499999999984,-12727.499999999984,stop
SYNTH,2017-10-23,26.626623376623378,2017-10-23,24.0,short,231,30337.50000000002,29182.50000000002,channel_exit
SYNTH,2017-11-02,22.75,2017-11-02,24.0,short,66,-4125.0,-4455.0,stop
SYNTH,2017-12-19,22.376024590163933,2017-12-19,20.75,short,244,19837.49999999998,18617.49999999998,channel_exit
SYNTH,2018-02-02,19.120967741935484,2018-02-02,20.0,short,279,-12262.499999999998,-13657.499999999998,stop
SYNTH,2018-03-26,18.13031914893617,2018-03-26,16.5,short,282,22987.5,21577.5,channel_exit
SYNTH,2018-05-18,16.0,2018-05-18,15.75,long,154,-1925.0,-2695.0,channel_exit
SYNTH,2018-06-07,15.5,2018-06-07,15.75,short,176,-2200.0,-3080.0,channel_exit
SYNTH,2018-07-16,16.0,2018-07-16,15.75,long,423,-5287.5,-7402.5,channel_exit
SYNTH,2018-08-06,15.75,2018-08-06,16.0,short,932,-11650.0,-16310.0,channel_exit
SYNTH,2018-08-14,16.0,2018-08-14,15.5,long,212,-5300.0,-6360.0,stop
SYNTH,2018-09-26,15.5,2018-09-26,14.0,short,690,51750.0,48300.0,channel_exit
