date,open,high,low,close,volume
2024-07-22,119.46875,119.75,118.46875,118.78125,402077
2024-07-23,118.875,119.34375,118.78125,119.03125,361821
2024-07-24,118.8125,119.28125,117.90625,118.03125,549179
2024-07-25,118.0,119.40625,118.0,118.625,550373
2024-07-26,118.78125,119.5625,118.375,119.34375,327349
2024-07-29,119.375,120.15625,119.3125,119.65625,295288
2024-07-30,119.71875,120.375,119.5,120.1875,345965
2024-07-31,120.25,121.8125,119.96875,120.78125,625435
2024-08-01,121.71875,122.8125,121.3125,122.53125,683934
2024-08-02,122.46875,125.25,122.25,125.0625,826023
2024-08-05,125.1875,126.84375,124.65625,125.40625,944974
2024-08-06,125.34375,125.4375,123.40625,123.6875,614049
2024-08-07,123.90625,123.90625,122.28125,122.4375,599582
2024-08-08,122.625,123.375,121.53125,122.0,541204
2024-08-09,122.0625,123.1875,122.0625,122.90625,293009
2024-08-12,122.9375,123.46875,122.53125,123.3125,305486
2024-08-13,123.3125,124.125,122.96875,124.0,364958
2024-08-14,124.03125,124.78125,123.84375,124.59375,409506
2024-08-15,124.4375,124.53125,122.65625,123.28125,443936
2024-08-16,123.46875,124.125,123.28125,123.6875,338727
2024-08-19,123.71875,124.40625,123.46875,124.1875,313746
2024-08-20,124.09375,125.03125,123.84375,124.875,388401
2024-08-21,124.96875,125.5625,124.53125,125.375,540232
2024-08-22,124.9375,125.125,123.75,124.03125,839048
2024-08-23,124.125,124.9375,124.0,124.59375,755104
2024-08-26,124.71875,125.09375,124.3125,124.53125,1047448
2024-08-27,124.5625,124.65625,123.625,124.15625,797912
2024-08-28,124.3125,124.65625,123.90625,123.96875,389629
2024-08-29,124.09375,124.4375,123.21875,123.59375,99139
2024-08-30,123.75,123.9375,122.5,122.96875,11291
2024-09-03,122.90625,124.28125,122.5,124.03125,2855
2024-09-04,124.0625,125.21875,124.0625,125.03125,3143
2024-09-05,125.09375,125.625,124.9375,125.53125,624
2024-09-06,125.6875,126.625,125.25,125.78125,2259
2024-09-09,125.65625,126.09375,125.125,126.0625,2259
2024-09-10,125.75,126.78125,125.75,126.71875,159
2024-09-11,126.625,127.21875,126.3125,126.625,1700
2024-09-12,126.4375,126.78125,126.03125,126.1875,64
2024-09-13,126.46875,126.59375,126.21875,126.59375,1060
2024-09-16,126.5625,127.125,126.5625,127.03125,79
2024-09-17,127.25,127.3125,126.75,126.84375,264
2024-09-18,126.3125,126.875,125.96875,125.96875,91
2024-09-19,125.5,125.6875,125.0,125.0,598032
2024-09-20,125.5,125.71875,124.8125,125.25,425385
2024-09-23,125.03125,125.3125,124.25,125.125,424085
2024-09-24,124.9375,125.1875,123.90625,125.03125,470953
2024-09-25,125.0625,125.1875,124.09375,124.28125,378913
2024-09-26,124.21875,124.6875,123.71875,124.34375,462856
2024-09-27,124.21875,125.0,124.03125,124.875,433440
2024-09-30,124.8125,124.875,124.125,124.1875,605273
2024-10-01,124.40625,125.78125,124.34375,125.0,569434
2024-10-02,125.125,125.28125,123.625,124.28125,515149
2024-10-03,124.28125,124.34375,123.3125,123.4375,397147
2024-10-04,123.46875,123.6875,121.78125,121.96875,597754
2024-10-07,121.9375,122.25,121.21875,121.3125,441169
2024-10-08,121.3125,121.65625,120.75,121.125,370046
